region,year,beet_harvesters_count,corn_harvesters_count,flax_harvesters_count,forage_harvesters_count,grain_harvesters_count,potato_harvesters_count,tractors_count,tech_municipality_count,tech_records_count,agricultural_machinery_total_count
Алтайский край,2008,138.0,13.0,63.0,1148.0,5836.0,33.0,15418.0,67,252,22649.0
Алтайский край,2009,128.0,13.0,68.0,1077.0,5240.0,39.0,14156.0,65,249,20721.0
Алтайский край,2010,116.0,11.0,63.0,1002.0,4791.0,31.0,13274.0,65,242,19288.0
Алтайский край,2011,107.0,6.0,57.0,959.0,4376.0,23.0,12341.0,65,231,17869.0
Алтайский край,2012,97.0,6.0,59.0,922.0,4097.0,26.0,11793.0,65,231,17000.0
Алтайский край,2013,42.0,,,731.0,3448.0,4.0,10166.0,56,159,14391.0
Алтайский край,2014,43.0,,,705.0,3284.0,3.0,9760.0,55,161,13795.0
Алтайский край,2015,38.0,,,598.0,2905.0,3.0,8703.0,54,152,12247.0
Алтайский край,2016,33.0,,,513.0,2795.0,,8295.0,54,146,11636.0
Алтайский край,2017,33.0,,,474.0,2773.0,,8142.0,55,142,11422.0
Алтайский край,2018,29.0,,,451.0,2664.0,,7763.0,56,144,10907.0
Алтайский край,2019,28.0,,,439.0,2565.0,,7578.0,56,143,10610.0
Алтайский край,2020,28.0,,,440.0,2574.0,,7473.0,54,142,10515.0
Алтайский край,2021,46.0,12.0,38.0,620.0,2656.0,15.0,7677.0,63,207,11064.0
Алтайский край,2022,24.0,,,395.0,2459.0,,7058.0,52,131,9936.0
Алтайский край,2023,23.0,,,398.0,2571.0,6.0,4928.0,51,114,7926.0
Алтайский край,2024,20.0,,,413.0,2811.0,10.0,4551.0,52,113,7805.0
Амурская область,2008,,6.0,,94.0,1394.0,18.0,3343.0,22,70,4855.0
Амурская область,2009,,7.0,,75.0,1206.0,14.0,2565.0,18,52,3867.0
Амурская область,2010,,5.0,,77.0,1299.0,10.0,2682.0,22,62,4073.0
Амурская область,2011,,6.0,,66.0,1231.0,10.0,2526.0,25,64,3839.0
Амурская область,2012,,6.0,,63.0,1142.0,11.0,2276.0,24,63,3498.0
Амурская область,2013,,5.0,,61.0,1180.0,12.0,2208.0,23,61,3466.0
Амурская область,2014,,8.0,,57.0,1087.0,11.0,2013.0,20,58,3176.0
