region,year,mineral_fertilizers_centner,mineral_fertilizers_tons,mineral_fertilizers_cumulative_centner,fertilizer_municipality_count,fertilizer_records_count,valid_fertilizer_values_count
Алтайский край,2008,77496.0,7749.6,77496.0,47,47,47
Алтайский край,2009,53487.0,5348.7,115371.0,52,52,31
Алтайский край,2010,17200.0,1720.0,87574.0,43,43,15
Алтайский край,2011,45967.18,4596.718,123323.38,50,50,35
Алтайский край,2012,21037.03,2103.703,113251.56,49,49,21
Алтайский край,2013,12448.230000000001,1244.823,63625.14,16,16,7
Алтайский край,2014,35620.33,3562.033,94199.0,16,16,10
Алтайский край,2015,36245.09,3624.509,118105.0,19,19,14
Алтайский край,2016,140446.12,14044.612,287197.0,49,49,37
Алтайский край,2017,29430.0,2943.0,212163.0,23,23,15
Алтайский край,2018,32971.0,3297.1000000000004,221450.0,26,26,15
Алтайский край,2019,92084.0,9208.4,309984.0,37,37,32
Алтайский край,2020,211820.96,21182.096,524323.0,43,43,35
Алтайский край,2021,202454.76,20245.476000000002,655028.48,45,45,33
Алтайский край,2022,179519.65000000002,17951.965,790749.89,45,45,36
Алтайский край,2023,111217.88,11121.788,842364.16,48,48,32
Алтайский край,2024,130896.17,13089.617,930008.46,50,50,29
Амурская область,2008,55999.0,5599.9,55999.0,11,11,11
Амурская область,2009,17824.86,1782.4859999999999,73156.66,12,12,10
Амурская область,2010,20733.04,2073.304,91551.1,14,14,11
Амурская область,2011,19247.6,1924.7599999999998,106415.08,17,17,12
Амурская область,2012,24693.9,2469.3900000000003,119235.94,17,17,8
Амурская область,2013,33134.840000000004,3313.4840000000004,139847.66,15,15,10
Амурская область,2014,6199.16,619.9159999999999,93875.0,8,8,3
Амурская область,2015,13454.6,1345.46,98466.0,13,13,4
Амурская область,2016,35732.0,3573.2,130788.0,13,13,8
Амурская область,2017,31722.0,3172.2,136984.0,9,9,6
Амурская область,2018,10147.0,1014.6999999999999,119535.0,9,9,2
Амурская область,2019,11692.0,1169.2,111762.0,9,9,4
Амурская область,2020,59069.83,5906.983,171640.43,11,11,10
Амурская область,2021,37761.02,3776.1019999999994,179315.02,9,9,6
Амурская область,2022,85082.86,8508.286,235981.99,10,10,9
Амурская область,2023,89400.73,8940.073,231760.88,9,9,5
Амурская область,2024,69555.79,6955.579,289171.01,11,11,9
Архангельская область,2008,12875.0,1287.5,12875.0,5,5,5
Архангельская область,2009,,,9441.0,4,4,0
Архангельская область,2010,1797.0,179.70000000000002,11238.0,4,4,4
Архангельская область,2011,4285.0,428.5,15483.0,7,7,6
Архангельская область,2012,1210.0,121.0,12480.0,10,10,4
Архангельская область,2013,,,8457.0,4,4,0
Архангельская область,2014,2598.0,259.8,11051.0,3,3,3
Архангельская область,2015,531.0,53.1,11069.0,3,3,1
Архангельская область,2016,1143.0,114.3,11817.0,4,4,2
Архангельская область,2017,650.0,65.0,11245.0,4,4,1
Архангельская область,2018,,,6740.0,3,3,0
Архангельская область,2019,644.0,64.4,7226.0,2,2,2
Архангельская область,2020,3065.0,306.5,10291.0,2,2,2
Архангельская область,2021,1050.0,105.0,11284.0,2,2,1
Архангельская область,2022,140.0,14.0,11126.0,2,2,1
Архангельская область,2023,1143.0,114.3,11806.0,2,2,2
Архангельская область,2024,2874.0,287.40000000000003,14593.0,3,3,2
Астраханская область,2008,7684.0,768.4,7684.0,11,11,11
Астраханская область,2009,5296.0,529.6,11527.0,11,11,10
Астраханская область,2010,1066.0,106.60000000000001,9312.0,10,10,4
Астраханская область,2011,1895.0,189.5,9805.4,11,11,3
Астраханская область,2012,2063.0,206.3,7050.17,8,8,3
Астраханская область,2013,2398.0,239.79999999999998,8813.16,9,9,4
Астраханская область,2014,1077.84,107.78399999999999,8216.0,8,8,4
Астраханская область,2015,3078.0,307.8,9547.0,8,8,3
Астраханская область,2016,5737.0,573.7,13548.0,2,2,2
Астраханская область,2018,4347.0,434.7,12964.0,1,1,1
Астраханская область,2019,4753.0,475.3,17717.0,1,1,1
Астраханская область,2020,843.0,84.3,18560.0,1,1,1
Белгородская область,2007,962471.0,96247.1,962471.0,21,21,21
Белгородская область,2008,212112.0,21211.2,1141305.0,21,21,15
Белгородская область,2009,107480.0,10748.0,1084114.0,21,21,10
Белгородская область,2010,183889.3,18388.93,1101701.04,21,21,12
Белгородская область,2011,61770.549999999996,6177.054999999999,1040767.73,21,21,9
Белгородская область,2012,73149.43000000001,7314.943,1046040.67,21,21,9
Белгородская область,2013,69507.65,6950.7649999999985,1002065.89,20,20,10
Белгородская область,2014,41948.69,4194.869,959028.0,20,20,10
Белгородская область,2015,93855.0,9385.5,1024265.0,20,20,13
Белгородская область,2016,107655.0,10765.5,1094547.0,20,20,13
Белгородская область,2017,85857.0,8585.7,1152041.0,20,20,12
Белгородская область,2018,32019.0,3201.9,1126174.0,20,20,8
Белгородская область,2019,378685.0,37868.5,1129568.0,20,20,14
Белгородская область,2020,144300.0,14430.0,1281018.0,21,21,11
Белгородская область,2021,1000028524.2399999,100002852.42400001,1001185154.4200001,21,21,10
Белгородская область,2022,85785.14,8578.514000000001,1206618.68,20,20,11
Белгородская область,2023,57429.8,5742.9800000000005,1171170.0,21,21,8
Белгородская область,2024,149791.0,14979.1,1266077.0,21,21,15
Брянская область,2008,164464.0,16446.4,164464.0,29,29,29
Брянская область,2009,25604.0,2560.4,151032.0,27,27,13
Брянская область,2010,43869.0,4386.9,174415.0,29,29,12
Брянская область,2011,81007.0,8100.7,227288.0,27,27,24
Брянская область,2012,44044.0,4404.4,221862.0,27,27,12
Брянская область,2013,121295.0,12129.5,272272.0,24,24,16
Брянская область,2014,112482.0,11248.2,368532.0,24,24,19
Брянская область,2015,131056.0,13105.6,507092.0,26,26,24
Брянская область,2016,181568.0,18156.8,678947.0,27,27,20
Брянская область,2017,124026.0,12402.6,734290.0,26,26,16
Брянская область,2018,101640.0,10164.0,787126.0,27,27,17
Брянская область,2019,104929.0,10492.9,809296.0,26,26,13
Брянская область,2020,228287.0,22828.7,1027437.0,27,27,19
Брянская область,2021,276329.0,27632.899999999998,1106631.0,27,27,17
Брянская область,2022,90659.17000000001,9065.917000000001,1043281.88,25,25,14
Брянская область,2023,144283.97999999998,14428.397999999997,1098768.8699999999,24,24,15
Брянская область,2024,79009.93999999999,7900.993999999999,1089864.67,23,23,13
Владимирская область,2008,131794.3,13179.43,131794.3,17,17,17
Владимирская область,2009,6031.0,603.1,94680.2,17,17,7
Владимирская область,2010,6324.1,632.41,92399.3,17,17,9
Владимирская область,2011,19775.0,1977.5,108989.0,16,16,11
Владимирская область,2012,9781.7,978.17,109271.7,16,16,11
Владимирская область,2013,578.5,57.85000000000001,75922.9,16,16,3
Владимирская область,2014,13164.1,1316.4099999999999,83377.0,16,16,11
Владимирская область,2015,7451.0,745.1,74694.0,16,16,7
Владимирская область,2016,6695.0,669.5,68606.0,16,16,5
Владимирская область,2017,11400.0,1140.0,67834.0,7,7,6
Владимирская область,2018,3961.0,396.09999999999997,62765.0,7,7,2
Владимирская область,2019,11277.0,1127.7,73740.0,7,7,5
Владимирская область,2020,23182.0,2318.2,98284.0,8,8,8
Владимирская область,2021,10825.550000000003,1082.5550000000003,102806.6,8,8,5
Владимирская область,2022,15137.84,1513.7839999999999,112898.66,7,7,4
Владимирская область,2023,24707.800000000003,2470.78,132699.02000000002,7,7,6
Владимирская область,2024,2477.579999999998,247.7579999999998,118196.48,7,7,2
Волгоградская область,2008,389467.0,38946.7,389467.0,32,32,32
Волгоградская область,2009,51491.0,5149.1,361365.0,36,36,21
Волгоградская область,2010,14219.0,1421.9,271301.0,24,24,5
Волгоградская область,2011,11551.0,1155.1000000000001,241606.0,32,32,10
Волгоградская область,2012,50186.0,5018.6,251789.0,23,23,11
Волгоградская область,2013,101967.0,10196.7,322004.0,24,24,20
Волгоградская область,2014,25266.0,2526.6,281804.0,19,19,8
Волгоградская область,2015,12336.0,1233.6,239048.0,19,19,4
Волгоградская область,2016,83258.0,8325.800000000001,327315.0,22,22,16
Волгоградская область,2017,71778.0,7177.8,348812.0,21,21,15
Волгоградская область,2018,61241.0,6124.1,382062.0,25,25,14
Волгоградская область,2019,61105.0,6110.5,391743.0,24,24,13
Волгоградская область,2020,103274.27,10327.427,454236.61,24,24,18
Волгоградская область,2021,127785.80999999998,12778.581,598714.45,26,26,19
Волгоградская область,2022,99818.18000000001,9981.818000000001,645273.0,27,27,19
Волгоградская область,2023,86773.0,8677.3,675391.0,29,29,18
Волгоградская область,2024,73062.0,7306.2,713595.0,29,29,15
Вологодская область,2008,165417.3,16541.73,165417.3,25,25,25
Вологодская область,2009,10318.8,1031.88,153116.4,26,26,15
Вологодская область,2010,1500.3000000000002,150.03000000000003,135963.54,25,25,8
Вологодская область,2011,23410.0,2341.0,156670.9,25,25,16
Вологодская область,2012,329.0,32.9,121842.26000000001,22,22,2
Вологодская область,2013,219.6,21.959999999999997,88693.3,15,15,2
Вологодская область,2014,16495.0,1649.5,109161.0,21,21,14
Вологодская область,2015,6939.0,693.9,103757.0,15,15,10
Вологодская область,2016,5782.0,578.2,105050.0,15,15,9
Вологодская область,2017,12155.0,1215.5,116158.0,14,14,9
Вологодская область,2018,3978.0,397.79999999999995,115069.0,15,15,6
Вологодская область,2019,15893.0,1589.3000000000002,130581.0,15,15,13
Вологодская область,2020,12703.0,1270.3,136820.0,15,15,7
Вологодская область,2021,4130.0,413.0,127422.0,14,14,4
Вологодская область,2022,5741.0,574.0999999999999,120805.0,12,12,8
Вологодская область,2023,20967.0,2096.7,137054.0,12,12,7
Вологодская область,2024,105043.0,10504.3,123430.0,10,10,9
Воронежская область,2008,1102491.85,110249.185,1102491.85,33,33,33
Воронежская область,2009,82316.2,8231.619999999999,1005514.85,31,31,14
Воронежская область,2010,170321.84,17032.184,1119844.04,33,33,18
Воронежская область,2011,70977.64,7097.764,1068297.27,32,32,16
Воронежская область,2012,71939.48,7193.948,991038.63,32,32,10
Воронежская область,2013,133398.66,13339.866,1068795.56,32,32,24
Воронежская область,2014,128388.34999999999,12838.835,1068383.0,32,32,13
Воронежская область,2015,114056.0,11405.6,1168249.0,32,32,24
Воронежская область,2016,132868.0,13286.8,1238700.0,33,33,21
Воронежская область,2017,200906.0,20090.6,1432356.0,32,32,28
Воронежская область,2018,119617.0,11961.699999999999,1463518.0,32,32,17
Воронежская область,2019,147569.0,14756.9,1558784.0,32,32,24
Воронежская область,2020,135809.57,13580.957,1648333.56,32,32,23
Воронежская область,2021,137228.13999999998,13722.813999999998,1685619.78,32,32,18
Воронежская область,2022,96926.82,9692.682,1692118.7,32,32,17
Воронежская область,2023,96919.38999999998,9691.939,1611343.8,32,32,11
Воронежская область,2024,159284.98,15928.498000000001,1695403.3900000001,32,32,20
Еврейская автономная область,2007,12300.0,1230.0,12300.0,4,4,4
Еврейская автономная область,2008,2657.2,265.71999999999997,14645.3,4,4,2
Еврейская автономная область,2009,15031.099999999999,1503.1100000000001,27119.4,10,10,9
Еврейская автономная область,2010,2065.3,206.52999999999997,14949.3,5,5,3
Еврейская автономная область,2011,784.7,78.47,14996.0,5,5,3
Еврейская автономная область,2012,2634.0,263.40000000000003,14837.0,4,4,3
Еврейская автономная область,2013,305.0,30.5,15756.0,5,5,2
Еврейская автономная область,2014,734.0,73.4,14398.0,5,5,1
Еврейская автономная область,2015,794.0,79.39999999999999,13137.0,3,3,2
Еврейская автономная область,2016,9005.0,900.5,21161.0,4,4,3
Еврейская автономная область,2018,1062.0,106.2,16137.0,3,3,1
Еврейская автономная область,2020,,,1716.9,1,1,0
Еврейская автономная область,2021,5918.299999999999,591.8299999999999,7635.2,1,1,1
Еврейская автономная область,2022,72.48999999999978,7.248999999999978,7707.69,1,1,1
Забайкальский край,2008,6974.54,697.4540000000001,6974.54,12,12,12
Забайкальский край,2009,4186.46,418.64599999999996,6197.3,16,16,9
Забайкальский край,2010,73.5,7.35,234.9,6,6,2
Забайкальский край,2011,6102.9800000000005,610.298,9752.880000000001,13,13,9
Забайкальский край,2012,546.0,54.6,1740.9,13,13,4
Забайкальский край,2013,862.5999999999999,86.25999999999999,1506.1,5,5,4
Забайкальский край,2014,1722.7,172.26999999999998,3679.0,14,14,5
Забайкальский край,2015,573.0,57.3,2325.0,12,12,2
Забайкальский край,2016,1067.0,106.69999999999999,2417.0,9,9,6
Забайкальский край,2017,,,534.0,1,1,0
Забайкальский край,2018,5.0,0.5,539.0,1,1,1
Забайкальский край,2019,,,512.0,1,1,0
Забайкальский край,2020,3.5,0.35,515.5,1,1,1
Забайкальский край,2021,8979.54,897.9540000000001,8979.54,1,1,1
Забайкальский край,2024,15702.41,1570.241,15877.41,2,2,2
Ивановская область,2008,864.0,86.39999999999999,864.0,3,3,3
Ивановская область,2011,23061.69,2306.169,23588.89,16,16,15
Ивановская область,2012,5621.2,562.12,24549.06,14,14,3
Ивановская область,2013,1448.7599999999998,144.87599999999998,20191.79,13,13,3
Ивановская область,2014,4039.7,403.97,21716.0,6,6,5
Ивановская область,2015,999.0,99.9,20046.0,6,6,3
Ивановская область,2016,742.91,74.291,17728.0,8,8,3
Ивановская область,2017,5480.0,548.0,22117.0,7,7,5
Ивановская область,2018,2214.0,221.4,22413.0,6,6,4
Ивановская область,2019,1650.0,165.0,23825.0,7,7,4
Ивановская область,2020,1619.29,161.929,22949.63,6,6,5
Ивановская область,2021,3900.31,390.031,25563.5,6,6,2
Ивановская область,2022,1576.38,157.638,25661.04,6,6,4
Ивановская область,2023,10377.2,1037.72,34089.2,6,6,4
Ивановская область,2024,1223.47,122.34700000000001,26451.36,7,7,3
Иркутская область,2008,100742.7,10074.27,100742.7,21,21,21
Иркутская область,2009,9204.300000000001,920.4300000000001,94747.1,21,21,10
Иркутская область,2010,3033.0,303.3,72564.7,17,17,3
Иркутская область,2011,20174.3,2017.43,90509.0,20,20,16
Иркутская область,2012,5318.0,531.8,74041.0,20,20,9
