region,year,crop,target_yield_centner_per_ha,sown_area,gross_harvest
Агинский Бурятский округ (Забайкальский край),2000,горох,,,
Агинский Бурятский округ (Забайкальский край),2001,горох,,,
Агинский Бурятский округ (Забайкальский край),2002,горох,,,
Агинский Бурятский округ (Забайкальский край),2003,горох,,,
Агинский Бурятский округ (Забайкальский край),2004,горох,,,
Агинский Бурятский округ (Забайкальский край),2005,горох,,,
Агинский Бурятский округ (Забайкальский край),2006,горох,,,
Агинский Бурятский округ (Забайкальский край),2007,горох,,,
Агинский Бурятский округ (Забайкальский край),2008,горох,,,
Агинский Бурятский округ (Забайкальский край),2009,горох,,,
Агинский Бурятский округ (Забайкальский край),2010,горох,,,
Агинский Бурятский округ (Забайкальский край),2011,горох,,,
Агинский Бурятский округ (Забайкальский край),2012,горох,,,
Агинский Бурятский округ (Забайкальский край),2013,горох,,,
Агинский Бурятский округ (Забайкальский край),2014,горох,,,
Агинский Бурятский округ (Забайкальский край),2015,горох,,,
Агинский Бурятский округ (Забайкальский край),2016,горох,,,
Агинский Бурятский округ (Забайкальский край),2017,горох,,,
Агинский Бурятский округ (Забайкальский край),2018,горох,,,
Агинский Бурятский округ (Забайкальский край),2019,горох,,,
Агинский Бурятский округ (Забайкальский край),2020,горох,,,
Агинский Бурятский округ (Забайкальский край),2021,горох,,,
Агинский Бурятский округ (Забайкальский край),2022,горох,,,
Агинский Бурятский округ (Забайкальский край),2023,горох,,,
Агинский Бурятский округ (Забайкальский край),2024,горох,,,
Агинский Бурятский округ (Забайкальский край),2025,горох,,,
Агинский Бурятский округ (Забайкальский край),2000,зерновые и зернобобовые культуры,12.1,18.79,216.44
Агинский Бурятский округ (Забайкальский край),2001,зерновые и зернобобовые культуры,6.9,25.96,63.05
Агинский Бурятский округ (Забайкальский край),2002,зерновые и зернобобовые культуры,12.6,26.46,327.71
Агинский Бурятский округ (Забайкальский край),2003,зерновые и зернобобовые культуры,12.8,25.68,83.06
Агинский Бурятский округ (Забайкальский край),2004,зерновые и зернобобовые культуры,6.4,22.56,53.37
Агинский Бурятский округ (Забайкальский край),2005,зерновые и зернобобовые культуры,11.3,24.06,270.47
Агинский Бурятский округ (Забайкальский край),2006,зерновые и зернобобовые культуры,8.4,23.66,125.63
Агинский Бурятский округ (Забайкальский край),2007,зерновые и зернобобовые культуры,10.3,21.94,183.02
