region,crop,year,target_yield_centner_per_ha,sown_area,gross_harvest
Агинский Бурятский округ (Забайкальский край),горох,2000,,,
Агинский Бурятский округ (Забайкальский край),горох,2001,,,
Агинский Бурятский округ (Забайкальский край),горох,2002,,,
Агинский Бурятский округ (Забайкальский край),горох,2003,,,
Агинский Бурятский округ (Забайкальский край),горох,2004,,,
Агинский Бурятский округ (Забайкальский край),горох,2005,,,
Агинский Бурятский округ (Забайкальский край),горох,2006,,,
Агинский Бурятский округ (Забайкальский край),горох,2007,,,
Агинский Бурятский округ (Забайкальский край),горох,2008,,,
Агинский Бурятский округ (Забайкальский край),горох,2009,,,
Агинский Бурятский округ (Забайкальский край),горох,2010,,,
Агинский Бурятский округ (Забайкальский край),горох,2011,,,
Агинский Бурятский округ (Забайкальский край),горох,2012,,,
Агинский Бурятский округ (Забайкальский край),горох,2013,,,
Агинский Бурятский округ (Забайкальский край),горох,2014,,,
Агинский Бурятский округ (Забайкальский край),горох,2015,,,
Агинский Бурятский округ (Забайкальский край),горох,2016,,,
Агинский Бурятский округ (Забайкальский край),горох,2017,,,
Агинский Бурятский округ (Забайкальский край),горох,2018,,,
Агинский Бурятский округ (Забайкальский край),горох,2019,,,
Агинский Бурятский округ (Забайкальский край),горох,2020,,,
Агинский Бурятский округ (Забайкальский край),горох,2021,,,
Агинский Бурятский округ (Забайкальский край),горох,2022,,,
Агинский Бурятский округ (Забайкальский край),горох,2023,,,
Агинский Бурятский округ (Забайкальский край),горох,2024,,,
Агинский Бурятский округ (Забайкальский край),горох,2025,,,
Агинский Бурятский округ (Забайкальский край),зерновые и зернобобовые культуры,2000,12.1,18.79,216.44
Агинский Бурятский округ (Забайкальский край),зерновые и зернобобовые культуры,2001,6.9,25.96,63.05
Агинский Бурятский округ (Забайкальский край),зерновые и зернобобовые культуры,2002,12.6,26.46,327.71
Агинский Бурятский округ (Забайкальский край),зерновые и зернобобовые культуры,2003,12.8,25.68,83.06
Агинский Бурятский округ (Забайкальский край),зерновые и зернобобовые культуры,2004,6.4,22.56,53.37
Агинский Бурятский округ (Забайкальский край),зерновые и зернобобовые культуры,2005,11.3,24.06,270.47
Агинский Бурятский округ (Забайкальский край),зерновые и зернобобовые культуры,2006,8.4,23.66,125.63
Агинский Бурятский округ (Забайкальский край),зерновые и зернобобовые культуры,2007,10.3,21.94,183.02
Агинский Бурятский округ (Забайкальский край),зерновые и зернобобовые культуры,2008,,,
Агинский Бурятский округ (Забайкальский край),зерновые и зернобобовые культуры,2009,,,
Агинский Бурятский округ (Забайкальский край),зерновые и зернобобовые культуры,2010,,,
Агинский Бурятский округ (Забайкальский край),зерновые и зернобобовые культуры,2011,,,
Агинский Бурятский округ (Забайкальский край),зерновые и зернобобовые культуры,2012,,,
Агинский Бурятский округ (Забайкальский край),зерновые и зернобобовые культуры,2013,,,
Агинский Бурятский округ (Забайкальский край),зерновые и зернобобовые культуры,2014,,,
Агинский Бурятский округ (Забайкальский край),зерновые и зернобобовые культуры,2015,,,
Агинский Бурятский округ (Забайкальский край),зерновые и зернобобовые культуры,2016,,,
Агинский Бурятский округ (Забайкальский край),зерновые и зернобобовые культуры,2017,,,
Агинский Бурятский округ (Забайкальский край),зерновые и зернобобовые культуры,2018,,,
Агинский Бурятский округ (Забайкальский край),зерновые и зернобобовые культуры,2019,,,
Агинский Бурятский округ (Забайкальский край),зерновые и зернобобовые культуры,2020,,,
Агинский Бурятский округ (Забайкальский край),зерновые и зернобобовые культуры,2021,,,
Агинский Бурятский округ (Забайкальский край),зерновые и зернобобовые культуры,2022,,,
Агинский Бурятский округ (Забайкальский край),зерновые и зернобобовые культуры,2023,,,
Агинский Бурятский округ (Забайкальский край),зерновые и зернобобовые культуры,2024,,,
Агинский Бурятский округ (Забайкальский край),зерновые и зернобобовые культуры,2025,,,
Агинский Бурятский округ (Забайкальский край),кабачки,2000,127.7,,
Агинский Бурятский округ (Забайкальский край),кабачки,2001,163.3,,
Агинский Бурятский округ (Забайкальский край),кабачки,2002,103.7,,
Агинский Бурятский округ (Забайкальский край),кабачки,2003,89.4,,
Агинский Бурятский округ (Забайкальский край),кабачки,2004,92.7,,
Агинский Бурятский округ (Забайкальский край),кабачки,2005,143.1,,
Агинский Бурятский округ (Забайкальский край),кабачки,2006,160.8,,
Агинский Бурятский округ (Забайкальский край),кабачки,2007,,,
Агинский Бурятский округ (Забайкальский край),кабачки,2008,,,
Агинский Бурятский округ (Забайкальский край),кабачки,2009,,,
Агинский Бурятский округ (Забайкальский край),кабачки,2010,,,
Агинский Бурятский округ (Забайкальский край),кабачки,2011,,,
Агинский Бурятский округ (Забайкальский край),кабачки,2012,,,
Агинский Бурятский округ (Забайкальский край),кабачки,2013,,,
Агинский Бурятский округ (Забайкальский край),кабачки,2014,,,
Агинский Бурятский округ (Забайкальский край),кабачки,2015,,,
Агинский Бурятский округ (Забайкальский край),кабачки,2016,,,
Агинский Бурятский округ (Забайкальский край),кабачки,2017,,,
Агинский Бурятский округ (Забайкальский край),кабачки,2018,,,
