Region,Year,Crop,Sown_Area_Ha,Gross_Harvest_Ton,Harvested_Area_Ha_Est,Mineral_Fertilizer_Ton_Total,Organic_Fertilizer_Ton_Total,Mineral_Fertilizer_Kg_Per_Ha_Proxy,Organic_Fertilizer_Ton_Per_Ha_Proxy,Has_Mineral_Fertilizer_Data,Has_Organic_Fertilizer_Data,Log_Mineral_Fertilizer_Kg_Total,Log_Organic_Fertilizer_Ton_Total,Log_Mineral_Fertilizer_Kg_Per_Ha_Proxy,Log_Organic_Fertilizer_Ton_Per_Ha_Proxy,Yield_tons_per_hectare
Алтайский край,2008.0,Maize,273.0,2166.9,273.01247322665995,161.0,,589.7435897435897,,1,0,11.989165855127435,,6.381382064960476,,7.937000000000001
Алтайский край,2008.0,Wheat,1582.0,3333.9,1582.297104888467,161.0,,101.76991150442478,,1,0,11.989165855127435,,4.632492620533418,,2.107
Алтайский край,2008.0,Maize,1917.0,30549.2,1916.99297188755,9.7,,5.0599895670318205,,1,0,9.179984251961285,,1.8017080784678303,,15.936000000000002
Алтайский край,2008.0,Barley,1731.0,2426.6,1730.8131241084166,9.7,,5.60369728480647,,1,0,9.179984251961285,,1.8876296868495688,,1.402
Алтайский край,2008.0,Wheat,795.0,1099.8,705.0,9.7,,12.20125786163522,,1,0,9.179984251961285,,2.5803121176004016,,1.56
Алтайский край,2008.0,Maize,4612.0,79890.90000000001,4612.105992379633,498.1,,108.00086730268865,,1,0,13.11855814668835,,4.691355839102888,,17.322
Алтайский край,2008.0,Soybean,,24.1,30.01245330012453,498.1,,,,1,0,13.11855814668835,,,,0.8029999999999999
Алтайский край,2008.0,Wheat,15677.0,20894.4,15674.718679669915,498.1,,31.77266058557122,,1,0,13.11855814668835,,3.489594649087624,,1.3330000000000002
Алтайский край,2008.0,Wheat,82964.0,88078.40000000001,82858.32549388522,76.3,,0.9196760040499494,,1,0,11.242441323346558,,0.6521564239095116,,1.0630000000000002
Алтайский край,2008.0,Barley,3868.0,3291.5,2887.280701754386,13.4,,3.4643226473629785,,1,0,9.503084610020228,,1.4961175001021831,,1.14
Алтайский край,2008.0,Wheat,6239.0,12260.5,6239.440203562342,38.2,,6.122776085911204,,1,0,10.5506169722625,,1.9632975491393756,,1.965
Алтайский край,2008.0,Maize,478.0,2145.2000000000003,328.01223241590213,123.8,,258.9958158995816,,1,0,11.726430716744437,,5.560665538192122,,6.540000000000001
Алтайский край,2008.0,Wheat,54289.0,37851.5,45007.7288941736,123.8,,2.280388292287572,,1,0,11.726430716744437,,1.1879617971844725,,0.8410000000000001
Алтайский край,2008.0,Wheat,56855.73,84767.5,56738.62115127176,270.3,,4.754138237254187,,1,0,12.50729143185074,,1.7499192893896394,,1.494
Алтайский край,2008.0,Wheat,3825.0,4252.5,3710.7329842931936,71.4,,18.666666666666668,,1,0,11.17606715383184,,2.9789251552376097,,1.146
Алтайский край,2008.0,Maize,918.0,9938.6,918.0306669129872,328.70000000000005,,358.06100217864923,,1,0,12.702903801935484,,5.883492296556287,,10.826
Алтайский край,2008.0,Wheat,20458.0,25251.300000000003,20396.849757673663,328.70000000000005,,16.06706422915241,,1,0,12.702903801935484,,2.837150537782935,,1.2380000000000002
Алтайский край,2008.0,Maize,1849.0,36216.8,1849.022310716292,685.1,,370.5246078961601,,1,0,13.437321551630854,,5.917615101253888,,19.587000000000003
Алтайский край,2008.0,Wheat,10838.0,15094.7,10836.10911701364,685.1,,63.21276988374239,,1,0,13.437321551630854,,4.162202098762827,,1.393
Алтайский край,2008.0,Wheat,31398.13,44178.9,31399.360341151387,288.0,,9.172520783881078,,1,0,12.570719231334277,,2.3196900440354966,,1.407
Алтайский край,2008.0,Wheat,1130.0,2431.7000000000003,1129.9721189591078,288.0,,254.8672566371681,,1,0,12.570719231334277,,5.544658781235972,,2.152
Алтайский край,2008.0,Soybean,,70.0,102.0408163265306,42.900000000000006,,,,1,0,10.666650414667744,,,,0.686
Алтайский край,2008.0,Wheat,54193.0,81293.1,54195.4,42.900000000000006,,0.7916151532485746,,1,0,10.666650414667744,,0.5831175332570653,,1.5
Алтайский край,2008.0,Barley,2804.0,2229.9,2739.434889434889,382.6,,136.44793152639087,,1,0,12.85474794968064,,4.923245165581255,,0.8140000000000001
Алтайский край,2008.0,Barley,526.0,582.6,525.812274368231,143.6,,273.00380228136885,,1,0,11.874793899360316,,5.613141983231089,,1.108
