region,lat,lon
Агинский Бурятский округ (Забайкальский край),51.1031,114.5306
Алтайский край,53.3474,83.7788
Амурская область,50.2907,127.5272
Архангельская область,64.5393,40.517
Архангельская область (кроме Ненецкого автономного округа),64.5393,40.517
Астраханская область,46.3497,48.0408
Белгородская область,50.5954,36.5873
Брянская область,53.2521,34.3717
Владимирская область,56.1291,40.407
Волго-Вятский экономический район,56.3269,44.0059
Волгоградская область,48.708,44.5133
Вологодская область,59.2205,39.8915
Воронежская область,51.6608,39.2003
Восточно-Сибирский экономический район,56.0106,92.8526
Город Москва столица Российской Федерации город федерального значения,55.7558,37.6173
Город Санкт-Петербург город федерального значения,59.9311,30.3609
Город федерального значения Севастополь,44.6167,33.5254
Дальневосточный экономический район,43.1155,131.8855
Еврейская автономная область,48.7946,132.9218
Забайкальский край,52.0333,113.5
Западно-Сибирский экономический район,55.0084,82.9357
Ивановская область,57.0004,40.9739
Иркутская область,52.2864,104.2807
Кабардино-Балкарская Республика,43.4853,43.6071
Калининградская область,54.7104,20.4522
Калининградский экономический район,54.7104,20.4522
Калужская область,54.5138,36.2612
Камчатский край,53.037,158.6559
Карачаево-Черкесская Республика,44.2269,42.0468
Кемеровская область - Кузбасс,55.3909,86.0468
Кировская область,58.6035,49.6679
"Коми-Пермяцкий округ, входящий в состав Пермского края",59.0167,54.6667
"Корякский округ, входящий в состав Камчатского края",59.2353,163.0719
Костромская область,57.7679,40.9269
Краснодарский край,45.0355,38.9753
Красноярский край,56.0153,92.8932
Курганская область,55.441,65.3411
Курская область,51.7304,36.1926
Ленинградская область,59.9311,30.3609
Липецкая область,52.6088,39.5992
Магаданская область,59.5682,150.8085
Московская область,55.5043,38.0354
Мурманская область,68.9585,33.0827
Ненецкий автономный округ (Архангельская область),67.6381,53.0069
Нижегородская область,56.3269,44.0059
Новгородская область,58.5215,31.2755
Новосибирская область,55.0084,82.9357
Омская область,54.9885,73.3242
Оренбургская область,51.7682,55.0969
Орловская область,52.9673,36.0696
Пензенская область,53.1959,45.0183
Пермский край,58.0105,56.2502
Поволжский экономический район,53.1959,50.1008
Приморский край,43.1155,131.8855
Псковская область,57.8194,28.3318
Республика Адыгея (Адыгея),44.6098,40.1007
Республика Алтай,51.9583,85.9603
Республика Башкортостан,54.7388,55.9721
Республика Бурятия,51.8345,107.5841
Республика Дагестан,42.9849,47.5046
Республика Ингушетия,43.2226,44.7726
Республика Калмыкия,46.3083,44.2702
Республика Карелия,61.7891,34.3597
Республика Коми,61.6688,50.8356
Республика Крым,44.9521,34.1024
Республика Марий Эл,56.6328,47.8958
Республика Мордовия,54.1838,45.1749
Республика Саха (Якутия),62.0272,129.7322
Республика Северная Осетия-Алания,43.0241,44.6816
Республика Татарстан (Татарстан),55.7961,49.1064
Республика Тыва,51.7191,94.4378
Республика Хакасия,53.7224,91.4436
Ростовская область,47.2225,39.7187
Рязанская область,54.6292,39.7364
Самарская область,53.1959,50.1008
Саратовская область,51.5336,46.0343
Сахалинская область,46.9592,142.738
Свердловская область,56.8389,60.6057
Северный экономический район,64.5393,40.517
Северо-Западный экономический район,59.9311,30.3609
Северо-Кавказский экономический район,45.0355,38.9753
Смоленская область,54.7903,32.0504
Ставропольский край,45.0448,41.969
Тамбовская область,52.7212,41.4523
Тверская область,56.8587,35.9176
Томская область,56.4846,84.9482
Тульская область,54.1931,37.6173
Тюменская область,57.153,65.5343
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),57.153,65.5343
Удмуртская Республика,56.8527,53.2115
Ульяновская область,54.3187,48.3978
Уральский экономический район,56.8389,60.6057
Усть-Ордынский Бурятский округ,52.805,104.75
Хабаровский край,48.4802,135.0719
Ханты-Мансийский автономный округ - Югра (Тюменская область),61.0032,69.0189
Центрально-Черноземный экономический район,51.6608,39.2003
Центральный экономический район,55.7558,37.6173
Челябинская область,55.1644,61.4368
Чеченская Республика,43.3178,45.6989
Чувашская Республика - Чувашия,56.1439,47.2489
Чукотский автономный округ,64.7342,177.5089
Эвенкийский автономный округ (Красноярский край),60.3736,102.2867
Ямало-Ненецкий автономный округ (Тюменская область),66.5298,66.6144
Ярославская область,57.6261,39.8845
